image,caption,captions_number,id
1000268201_693b08cb0e.jpg,A child in a pink dress is climbing up a set of stairs in an entry way .,0,0
1000268201_693b08cb0e.jpg,A girl going into a wooden building .,1,0
1000268201_693b08cb0e.jpg,A little girl climbing into a wooden playhouse .,2,0
1000268201_693b08cb0e.jpg,A little girl climbing the stairs to her playhouse .,3,0
1000268201_693b08cb0e.jpg,A little girl in a pink dress going into a wooden cabin .,4,0
1001773457_577c3a7d70.jpg,A black dog and a spotted dog are fighting,5,1
1001773457_577c3a7d70.jpg,A black dog and a tri-colored dog playing with each other on the road .,6,1
1001773457_577c3a7d70.jpg,A black dog and a white dog with brown spots are staring at each other in the street .,7,1
1001773457_577c3a7d70.jpg,Two dogs of different breeds looking at each other on the road .,8,1
1001773457_577c3a7d70.jpg,Two dogs on pavement moving toward each other .,9,1
1002674143_1b742ab4b8.jpg,A little girl covered in paint sits in front of a painted rainbow with her hands in a bowl .,10,2
1002674143_1b742ab4b8.jpg,A little girl is sitting in front of a large painted rainbow .,11,2
1002674143_1b742ab4b8.jpg,A small girl in the grass plays with fingerpaints in front of a white canvas with a rainbow on it .,12,2
1002674143_1b742ab4b8.jpg,There is a girl with pigtails sitting in front of a rainbow painting .,13,2
1002674143_1b742ab4b8.jpg,Young girl with pigtails painting outside in the grass .,14,2
1003163366_44323f5815.jpg,A man lays on a bench while his dog sits by him .,15,3
1003163366_44323f5815.jpg,A man lays on the bench to which a white dog is also tied .,16,3
1003163366_44323f5815.jpg,a man sleeping on a bench outside with a white and black dog sitting next to him .,17,3
1003163366_44323f5815.jpg,A shirtless man lies on a park bench with his dog .,18,3
1003163366_44323f5815.jpg,man laying on bench holding leash of dog sitting on ground,19,3
1007129816_e794419615.jpg,A man in an orange hat starring at something .,20,4
1007129816_e794419615.jpg,A man wears an orange hat and glasses .,21,4
1007129816_e794419615.jpg,A man with gauges and glasses is wearing a Blitz hat .,22,4
1007129816_e794419615.jpg,A man with glasses is wearing a beer can crocheted hat .,23,4
1007129816_e794419615.jpg,The man with pierced ears is wearing glasses and an orange hat .,24,4
1007320043_627395c3d8.jpg,A child playing on a rope net .,25,5
1007320043_627395c3d8.jpg,A little girl climbing on red roping .,26,5
1007320043_627395c3d8.jpg,A little girl in pink climbs a rope bridge at the park .,27,5
1007320043_627395c3d8.jpg,A small child grips onto the red ropes at the playground .,28,5
1007320043_627395c3d8.jpg,The small child climbs on a red ropes on a playground .,29,5
1009434119_febe49276a.jpg,A black and white dog is running in a grassy garden surrounded by a white fence .,30,6
1009434119_febe49276a.jpg,A black and white dog is running through the grass .,31,6
1009434119_febe49276a.jpg,A Boston terrier is running in the grass .,32,6
1009434119_febe49276a.jpg,A Boston Terrier is running on lush green grass in front of a white fence .,33,6
1009434119_febe49276a.jpg,A dog runs on the green grass near a wooden fence .,34,6
1012212859_01547e3f17.jpg,"A dog shakes its head near the shore , a red ball next to it .",35,7
1012212859_01547e3f17.jpg,A white dog shakes on the edge of a beach with an orange ball .,36,7
1012212859_01547e3f17.jpg,"Dog with orange ball at feet , stands on shore shaking off water",37,7
1012212859_01547e3f17.jpg,White dog playing with a red ball on the shore near the water .,38,7
1012212859_01547e3f17.jpg,White dog with brown ears standing near water with head turned to one side .,39,7
1015118661_980735411b.jpg,A boy smiles in front of a stony wall in a city .,40,8
1015118661_980735411b.jpg,A little boy is standing on the street while a man in overalls is working on a stone wall .,41,8
1015118661_980735411b.jpg,A young boy runs aross the street .,42,8
1015118661_980735411b.jpg,A young child is walking on a stone paved street with a metal pole and a man behind him .,43,8
1015118661_980735411b.jpg,Smiling boy in white shirt and blue jeans in front of rock wall with man in overalls behind him .,44,8
1015584366_dfcec3c85a.jpg,A black dog leaps over a log .,45,9
1015584366_dfcec3c85a.jpg,A grey dog is leaping over a fallen tree .,46,9
1015584366_dfcec3c85a.jpg,A large black dog leaps a fallen log .,47,9
1015584366_dfcec3c85a.jpg,A mottled black and grey dog in a blue collar jumping over a fallen tree .,48,9
1015584366_dfcec3c85a.jpg,The black dog jumped the tree stump .,49,9
101654506_8eb26cfb60.jpg,A brown and white dog is running through the snow .,50,10
101654506_8eb26cfb60.jpg,A dog is running in the snow,51,10
101654506_8eb26cfb60.jpg,A dog running through snow .,52,10
101654506_8eb26cfb60.jpg,a white and brown dog is running through a snow covered field .,53,10
101654506_8eb26cfb60.jpg,The white and brown dog is running over the surface of the snow .,54,10
101669240_b2d3e7f17b.jpg,A man in a hat is displaying pictures next to a skier in a blue hat .,55,11
101669240_b2d3e7f17b.jpg,A man skis past another man displaying paintings in the snow .,56,11
101669240_b2d3e7f17b.jpg,A person wearing skis looking at framed pictures set up in the snow .,57,11
101669240_b2d3e7f17b.jpg,A skier looks at framed pictures in the snow next to trees .,58,11
101669240_b2d3e7f17b.jpg,Man on skis looking at artwork for sale in the snow,59,11
1016887272_03199f49c4.jpg,A collage of one person climbing a cliff .,60,12
1016887272_03199f49c4.jpg,A group of people are rock climbing on a rock climbing wall .,61,12
1016887272_03199f49c4.jpg,A group of people climbing a rock while one man belays,62,12
1016887272_03199f49c4.jpg,Seven climbers are ascending a rock face whilst another man stands holding the rope .,63,12
1016887272_03199f49c4.jpg,Several climbers in a row are climbing the rock while the man in red watches and holds the line .,64,12
1019077836_6fc9b15408.jpg,A brown dog chases the water from a sprinkler on a lawn .,65,13
1019077836_6fc9b15408.jpg,a brown dog plays with the hose .,66,13
1019077836_6fc9b15408.jpg,A brown dog running on a lawn near a garden hose,67,13
1019077836_6fc9b15408.jpg,A dog is playing with a hose .,68,13
1019077836_6fc9b15408.jpg,Large brown dog running away from the sprinkler in the grass .,69,13
1019604187_d087bf9a5f.jpg,A dog prepares to catch a thrown object in a field with nearby cars .,70,14
1019604187_d087bf9a5f.jpg,A white dog is about to catch a yellow ball in its mouth .,71,14
1019604187_d087bf9a5f.jpg,A white dog is about to catch a yellow dog toy .,72,14
1019604187_d087bf9a5f.jpg,A white dog is ready to catch a yellow ball flying through the air .,73,14
1019604187_d087bf9a5f.jpg,A white dog running after a yellow ball,74,14
1020651753_06077ec457.jpg,a black and white dog jumping in the air to get a toy .,75,15
1020651753_06077ec457.jpg,A black and white dog jumps up towards a yellow toy .,76,15
1020651753_06077ec457.jpg,A dog leaps to catch a ball in a field .,77,15
1020651753_06077ec457.jpg,A white dog is trying to catch a ball in midair over a grassy field .,78,15
1020651753_06077ec457.jpg,The white dog is playing in a green field with a yellow toy .,79,15
1022454332_6af2c1449a.jpg,A child and a woman are at waters edge in a big city .,80,16
1022454332_6af2c1449a.jpg,a large lake with a lone duck swimming in it with several people around the edge of it .,81,16
1022454332_6af2c1449a.jpg,A little boy at a lake watching a duck .,82,16
1022454332_6af2c1449a.jpg,A young boy waves his hand at the duck in the water surrounded by a green park .,83,16
1022454332_6af2c1449a.jpg,"Two people are at the edge of a lake , facing the water and the city skyline .",84,16
1022454428_b6b660a67b.jpg,"A couple and an infant , being held by the male , sitting next to a pond with a near by stroller .",85,17
1022454428_b6b660a67b.jpg,A couple sit on the grass with a baby and stroller .,86,17
1022454428_b6b660a67b.jpg,A couple with their newborn baby sitting under a tree facing a lake .,87,17
1022454428_b6b660a67b.jpg,A man and woman care for an infant along the side of a body of water .,88,17
1022454428_b6b660a67b.jpg,Couple with a baby sit outdoors next to their stroller .,89,17
1022975728_75515238d8.jpg,A black dog running in the surf .,90,18
